File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF707WKL	bam	bam		unfiltered alignments	mm10	ENCSR382DRK	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF018NEO/, /files/ENCFF288PUA/	2142021167	ENCODE Processing Pipeline	530b204992f2d4fea2feb7f3070d8cb1		https://www.encodeproject.org/files/ENCFF707WKL/@@download/ENCFF707WKL.bam				released	s3://encode-public/2016/10/02/8e0d4f44-8119-412c-979a-a26e11f444c7/ENCFF707WKL.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
ENCFF584JFB	bam	bam		unfiltered alignments	mm10	ENCSR382DRK	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF018NEO/, /files/ENCFF222ACN/	2851670779	ENCODE Processing Pipeline	e91e116c3a8872555082024af450324f		https://www.encodeproject.org/files/ENCFF584JFB/@@download/ENCFF584JFB.bam				released	s3://encode-public/2016/10/02/2001d015-2468-4f3c-aa93-c8453f635f66/ENCFF584JFB.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
ENCFF149NAG	bam	bam		unfiltered alignments	mm10	ENCSR382DRK	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF309GLL/, /files/ENCFF288PUA/	2110880177	ENCODE Processing Pipeline	32b75fbe76a06636b2b0f7442f5e3d96		https://www.encodeproject.org/files/ENCFF149NAG/@@download/ENCFF149NAG.bam				released	s3://encode-public/2020/10/10/f60847ef-9abd-41d1-9427-c355f968feeb/ENCFF149NAG.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF431WCL	bam	bam		unfiltered alignments	mm10	ENCSR382DRK	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K27ac-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF309GLL/, /files/ENCFF222ACN/	2809086000	ENCODE Processing Pipeline	59d52bb9007ba59a233482866f40ad84		https://www.encodeproject.org/files/ENCFF431WCL/@@download/ENCFF431WCL.bam				released	s3://encode-public/2020/10/10/ac6abc96-d10a-4a04-bcd2-3be747de1d3c/ENCFF431WCL.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF045IPK	bam	bam		unfiltered alignments	mm10	ENCSR765JWZ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	2	2_1		51					/files/ENCFF536ZIH/, /files/ENCFF018NEO/	1525179599	ENCODE Processing Pipeline	014b0ee94e3c8fc8f8ec0c644f089031		https://www.encodeproject.org/files/ENCFF045IPK/@@download/ENCFF045IPK.bam				released	s3://encode-public/2016/07/14/8713a465-4e3e-48bd-8af7-c422dd8012cb/ENCFF045IPK.bam	ENCODE3 mm10	archived	moderate library complexity, mild to moderate bottlenecking		
ENCFF124UYX	bam	bam		unfiltered alignments	mm10	ENCSR765JWZ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	1	1_1		51					/files/ENCFF018NEO/, /files/ENCFF114XWK/	3022150921	ENCODE Processing Pipeline	c820a2f05bafaae1f8ce9a7a6a535c46		https://www.encodeproject.org/files/ENCFF124UYX/@@download/ENCFF124UYX.bam				released	s3://encode-public/2016/07/14/c04e16ad-814e-4bfc-ae06-25d2701fb4bc/ENCFF124UYX.bam	ENCODE3 mm10	archived	moderate library complexity, mild to moderate bottlenecking		
ENCFF133SMT	bam	bam		unfiltered alignments	mm10	ENCSR765JWZ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF114XWK/, /files/ENCFF309GLL/	2897391567	ENCODE Processing Pipeline	ca4ee76c8727bcc3677e719dfaef987f		https://www.encodeproject.org/files/ENCFF133SMT/@@download/ENCFF133SMT.bam				released	s3://encode-public/2020/10/09/33cb1c24-def5-43e6-90ce-554a55409d71/ENCFF133SMT.bam	ENCODE4 v1.5.1 mm10	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF938UUY	bam	bam		unfiltered alignments	mm10	ENCSR765JWZ	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2016-07-19	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF536ZIH/, /files/ENCFF309GLL/	1474267435	ENCODE Processing Pipeline	e2a5182a022f05eae961ed12b90cf055		https://www.encodeproject.org/files/ENCFF938UUY/@@download/ENCFF938UUY.bam				released	s3://encode-public/2020/10/09/c63b0c4c-5a02-4025-bd7e-050bf90b13c1/ENCFF938UUY.bam	ENCODE4 v1.5.1 mm10	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF401BKM	bam	bam		unfiltered alignments	mm10	ENCSR990JMN	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF018NEO/, /files/ENCFF657VUN/	2179451037	ENCODE Processing Pipeline	cf3d6f4d8d54f4dbd192962143e52b34		https://www.encodeproject.org/files/ENCFF401BKM/@@download/ENCFF401BKM.bam				released	s3://encode-public/2016/10/02/d7e10f74-204e-4cbb-a43f-c3cc2a90aad6/ENCFF401BKM.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
ENCFF258KCR	bam	bam		unfiltered alignments	mm10	ENCSR990JMN	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF018NEO/, /files/ENCFF701LKI/	2868284272	ENCODE Processing Pipeline	5ba9217d4ef305cddcd9da180eb35059		https://www.encodeproject.org/files/ENCFF258KCR/@@download/ENCFF258KCR.bam				released	s3://encode-public/2016/10/02/ccb298f0-d492-4a00-ab29-a7947584a658/ENCFF258KCR.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
ENCFF132APW	bam	bam		unfiltered alignments	mm10	ENCSR990JMN	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF701LKI/, /files/ENCFF309GLL/	2823509259	ENCODE Processing Pipeline	5e2edcbee894b00e75b4c46b453ebff6		https://www.encodeproject.org/files/ENCFF132APW/@@download/ENCFF132APW.bam				released	s3://encode-public/2020/10/09/6d31e9c9-a768-46d5-9f06-94ce6de616cd/ENCFF132APW.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF372KIU	bam	bam		unfiltered alignments	mm10	ENCSR990JMN	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-11-03	ENCODE		sonication (generic)	300-500	2	2_1		50					/files/ENCFF309GLL/, /files/ENCFF657VUN/	2146225513	ENCODE Processing Pipeline	ed194dca06864e1e31361b289d2be273		https://www.encodeproject.org/files/ENCFF372KIU/@@download/ENCFF372KIU.bam				released	s3://encode-public/2020/10/09/648478cf-eae7-4e7e-b27c-e0af9e2640b1/ENCFF372KIU.bam	ENCODE4 v1.5.1 mm10	released	inconsistent platforms, mild to moderate bottlenecking		
ENCFF485UDC	bam	bam		unfiltered alignments	mm10	ENCSR057BKH	Histone ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0012314	embryonic facial prominence	tissue	Mus musculus										H3K4me3-mouse	DNA			SDS			2015-06-23	ENCODE		sonication (generic)	300-500	1	1_1		50					/files/ENCFF018NEO/, /files/ENCFF786CEQ/	2539740834	ENCODE Processing Pipeline	020d010c35382ebc679c4346a301be6a		https://www.encodeproject.org/files/ENCFF485UDC/@@download/ENCFF485UDC.bam				released	s3://encode-public/2016/10/01/19320a26-65bc-4cae-9f43-3e55f974a2ae/ENCFF485UDC.bam	ENCODE3 mm10	archived	inconsistent platforms, mild to moderate bottlenecking		
