##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-1_input_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65293567
Sequences flagged as poor quality	0
Sequence length	150
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.853694147235057	32.0	32.0	32.0	32.0	32.0
2	31.833204701467757	32.0	32.0	32.0	32.0	32.0
3	36.340863089927375	37.0	37.0	37.0	32.0	37.0
4	36.62249305509684	37.0	37.0	37.0	37.0	37.0
5	36.69776503403467	37.0	37.0	37.0	37.0	37.0
6	40.484780774804356	41.0	41.0	41.0	41.0	41.0
7	40.549515850466555	41.0	41.0	41.0	41.0	41.0
8	40.57736853310526	41.0	41.0	41.0	41.0	41.0
9	40.558532343622765	41.0	41.0	41.0	41.0	41.0
10-14	40.58616461863693	41.0	41.0	41.0	41.0	41.0
15-19	40.57786018950382	41.0	41.0	41.0	41.0	41.0
20-24	40.54438330501993	41.0	41.0	41.0	41.0	41.0
25-29	40.501776384800664	41.0	41.0	41.0	41.0	41.0
30-34	40.44946071946108	41.0	41.0	41.0	41.0	41.0
35-39	40.40425283550522	41.0	41.0	41.0	41.0	41.0
40-44	40.3810401842497	41.0	41.0	41.0	41.0	41.0
45-49	40.372543766830816	41.0	41.0	41.0	41.0	41.0
50-54	40.3579674855258	41.0	41.0	41.0	41.0	41.0
55-59	40.28537143329909	41.0	41.0	41.0	41.0	41.0
60-64	40.265042386181776	41.0	41.0	41.0	41.0	41.0
65-69	40.223446662057846	41.0	41.0	41.0	41.0	41.0
70-74	40.17736899256859	41.0	41.0	41.0	41.0	41.0
75-79	39.97465732573624	41.0	41.0	41.0	39.4	41.0
80-84	40.05475039830494	41.0	41.0	41.0	41.0	41.0
85-89	40.027726685540095	41.0	41.0	41.0	41.0	41.0
90-94	39.97133718548414	41.0	41.0	41.0	40.2	41.0
95-99	39.90905754314203	41.0	41.0	41.0	37.0	41.0
100-104	39.8242547539178	41.0	41.0	41.0	37.0	41.0
105-109	39.75176262617112	41.0	41.0	41.0	37.0	41.0
110-114	39.629109455760016	41.0	41.0	41.0	37.0	41.0
115-119	39.52863210245505	41.0	41.0	41.0	37.0	41.0
120-124	39.276077307891605	41.0	41.0	41.0	37.0	41.0
125-129	39.24528414874317	41.0	41.0	41.0	37.0	41.0
130-134	39.1062936016346	41.0	41.0	41.0	37.0	41.0
135-139	38.92683725488608	41.0	41.0	41.0	36.0	41.0
140-144	38.700588393340496	41.0	41.0	41.0	32.0	41.0
145-149	38.447256823937956	41.0	41.0	41.0	32.0	41.0
150	38.26630961975167	41.0	41.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.1262871702140913
1101	2	-0.719951065596188
1101	3	-0.7105408348232061
1101	4	-0.33069833934116133
1101	5	-0.24571465107117518
1101	6	-0.5114646992954803
1101	7	-0.3259630587644651
1101	8	-0.25524230445346063
1101	9	-0.4401900895725106
1101	10-14	-0.22632907615785314
1101	15-19	-0.3322312583034943
1101	20-24	-0.19444978420261805
1101	25-29	-0.29620052100458594
1101	30-34	-0.3264044683504608
1101	35-39	-0.2957043615676369
1101	40-44	-0.4181319317697145
1101	45-49	-0.3460068524607962
1101	50-54	-0.5342506531384075
1101	55-59	-0.7370062911497826
1101	60-64	-0.8806529529794531
1101	65-69	-0.7345483860032118
1101	70-74	-0.7640369001502165
1101	75-79	-1.3063397995229167
1101	80-84	-0.7924119870927697
1101	85-89	-0.6551100894432054
1101	90-94	-0.8847376512441087
1101	95-99	-0.9685836953965463
1101	100-104	-1.1993990132478842
1101	105-109	-1.3744208287660982
1101	110-114	-1.3277444178257198
1101	115-119	-1.3053143975329675
1101	120-124	-1.199783311040683
1101	125-129	-1.2154795056435646
1101	130-134	-1.2610472361772693
1101	135-139	-1.6172216964169621
1101	140-144	-1.9388357918628571
1101	145-149	-1.0656523139315013
1101	150	-1.6634988023638826
1102	1	0.0034561991849386686
1102	2	-0.009995756465414729
1102	3	-0.04222895801379423
1102	4	-0.08595934917807568
1102	5	0.04456942418836718
1102	6	-5.477909269018255E-4
1102	7	-0.03441654079477985
1102	8	-0.08594143802482535
1102	9	-0.04750288251819512
1102	10-14	6.942376887906221E-4
1102	15-19	-0.038529683255681846
1102	20-24	-0.08306054158769882
1102	25-29	-0.09222282841800222
1102	30-34	-0.08756493101388685
1102	35-39	-0.1343546333156027
1102	40-44	-0.07666729126032834
1102	45-49	-0.07139329067113209
1102	50-54	-0.15601909446336748
1102	55-59	-0.10910638244416049
1102	60-64	-0.17648862137230736
1102	65-69	-0.14499718509572546
1102	70-74	-0.052512509745149316
1102	75-79	-0.062178544472942576
1102	80-84	-0.010019655825260543
1102	85-89	0.009631764709681079
1102	90-94	-0.18250911035680417
1102	95-99	-0.08100879673764183
1102	100-104	-0.11425127653104283
1102	105-109	-0.3555015278411986
1102	110-114	-0.204508420144613
1102	115-119	-0.07421843083420754
1102	120-124	-0.41366749350792986
1102	125-129	-0.06470538025020289
1102	130-134	-0.16291249488380544
1102	135-139	-0.10981902461831083
1102	140-144	0.11977666021471123
1102	145-149	0.16716211109216061
1102	150	-0.1208390542172495
1103	1	-0.0693931740551541
1103	2	-1.449454401516448E-4
1103	3	-0.013611976504378731
1103	4	0.005423340347284977
1103	5	0.027007699267258545
1103	6	0.03028869234891829
1103	7	-0.024426139066257235
1103	8	0.012382901866182294
1103	9	0.011519053479553065
1103	10-14	0.02629314792346804
1103	15-19	0.004419940249960064
