##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-1_input_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65293567
Sequences flagged as poor quality	0
Sequence length	150
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.684203851200227	32.0	32.0	32.0	32.0	32.0
2	31.62709067495118	32.0	32.0	32.0	32.0	32.0
3	35.86895411917073	37.0	37.0	37.0	32.0	37.0
4	36.278188921735584	37.0	37.0	37.0	37.0	37.0
5	36.39139241695893	37.0	37.0	37.0	37.0	37.0
6	40.0533234154599	41.0	41.0	41.0	37.0	41.0
7	40.103237168831654	41.0	41.0	41.0	41.0	41.0
8	40.12304519984335	41.0	41.0	41.0	41.0	41.0
9	40.150093239660194	41.0	41.0	41.0	41.0	41.0
10-14	40.125323565183685	41.0	41.0	41.0	41.0	41.0
15-19	40.078454396587034	41.0	41.0	41.0	41.0	41.0
20-24	40.03384353009845	41.0	41.0	41.0	41.0	41.0
25-29	39.99605989361862	41.0	41.0	41.0	40.2	41.0
30-34	39.95013529893381	41.0	41.0	41.0	40.2	41.0
35-39	39.905548428683645	41.0	41.0	41.0	37.0	41.0
40-44	39.82004987106923	41.0	41.0	41.0	37.0	41.0
45-49	39.76960548655582	41.0	41.0	41.0	37.0	41.0
50-54	39.7337170903835	41.0	41.0	41.0	37.0	41.0
55-59	39.681256540939174	41.0	41.0	41.0	37.0	41.0
60-64	39.59592992063061	41.0	41.0	41.0	37.0	41.0
65-69	39.54919277422843	41.0	41.0	41.0	37.0	41.0
70-74	39.45310058186896	41.0	41.0	41.0	37.0	41.0
75-79	39.17590703843764	41.0	41.0	41.0	36.0	41.0
80-84	39.32465112527855	41.0	41.0	41.0	37.0	41.0
85-89	39.23610515872107	41.0	41.0	41.0	37.0	41.0
90-94	39.12267109254423	41.0	41.0	41.0	37.0	41.0
95-99	39.01922716521216	41.0	41.0	41.0	37.0	41.0
100-104	38.894216684470614	41.0	41.0	41.0	36.0	41.0
105-109	38.66794325082592	41.0	41.0	41.0	32.0	41.0
110-114	38.564490363958825	41.0	41.0	41.0	32.0	41.0
115-119	38.29908052044392	41.0	41.0	41.0	32.0	41.0
120-124	38.124499971030836	41.0	40.2	41.0	32.0	41.0
125-129	37.851980048815534	41.0	37.0	41.0	30.0	41.0
130-134	37.59247796034792	41.0	37.0	41.0	27.0	41.0
135-139	37.213145598248595	41.0	37.0	41.0	27.0	41.0
140-144	36.8817252823697	41.0	37.0	41.0	27.0	41.0
145-149	36.59121860504267	41.0	37.0	41.0	25.0	41.0
150	36.356332209572805	41.0	37.0	41.0	22.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.23511643442018837
1101	2	-0.004818202204521782
1101	3	-0.41902088110225577
1101	4	-0.08708544581278232
1101	5	-0.10690920850852592
1101	6	-0.06404938627829893
1101	7	-0.20341157222177486
1101	8	-0.2223749096596066
1101	9	-0.30000562743124704
1101	10-14	-0.2431230619520761
1101	15-19	-0.8102050691668978
1101	20-24	-0.6229394112213669
1101	25-29	-0.3350602953123314
1101	30-34	-0.7931324276943599
1101	35-39	-0.5142079291670143
1101	40-44	-0.32312344737163556
1101	45-49	-0.4948530493230052
1101	50-54	-0.5382409552466711
1101	55-59	-0.8537804701631018
1101	60-64	-0.34572946901647583
1101	65-69	-0.4958542359984861
1101	70-74	-0.5222476369028257
1101	75-79	-0.3144780030505032
1101	80-84	-0.651727450834855
1101	85-89	-0.6391026131173092
1101	90-94	-0.40248123529565305
1101	95-99	-0.6163554494532875
1101	100-104	-0.7839008385223849
1101	105-109	-0.6194976716235274
1101	110-114	-0.44942270865166023
1101	115-119	-0.38670095242304114
1101	120-124	-0.6899578982009302
1101	125-129	-0.6011839625228959
1101	130-134	-0.8411848337420693
1101	135-139	-0.5169280145081316
1101	140-144	-0.3849513198541459
1101	145-149	-0.3561964811811791
1101	150	-0.46121257291260065
1102	1	0.04300472246668363
1102	2	0.09961972783991158
1102	3	0.17706895010320522
1102	4	0.13507548415622495
1102	5	0.02218344694149721
1102	6	0.01086601533377518
1102	7	0.12150196123391055
1102	8	0.1322237559350512
1102	9	0.045358873701168534
1102	10-14	0.11333423991148095
1102	15-19	0.10151736158726266
1102	20-24	0.17659572335083595
1102	25-29	0.11791543865231802
1102	30-34	0.10149142489051144
1102	35-39	0.1598014713904945
1102	40-44	0.24118518784109
1102	45-49	0.1811201770808637
1102	50-54	0.1960218888152525
1102	55-59	0.16176322240902863
1102	60-64	0.13475606113063776
1102	65-69	0.17900492050981853
1102	70-74	0.1829760153808806
1102	75-79	0.2042313873901449
1102	80-84	0.0341293629944559
1102	85-89	0.17693935850481068
1102	90-94	0.059323186585388044
1102	95-99	0.09021564121763248
1102	100-104	-0.02401022878680692
1102	105-109	-0.006482280043471178
1102	110-114	-0.046019204400344904
1102	115-119	0.19224791467362934
1102	120-124	0.007387350141392801
1102	125-129	0.19670278495298277
1102	130-134	0.23518824393589455
1102	135-139	0.3478652049717468
1102	140-144	0.5940015053138907
1102	145-149	0.40315855218360497
1102	150	0.058493599290109444
1103	1	0.041468569273760636
1103	2	0.08415068859196495
1103	3	0.23076972769629833
1103	4	0.08598675878840822
1103	5	0.01430983748236514
1103	6	0.043868123045491814
1103	7	0.08003455187878217
1103	8	0.08833417317379144
1103	9	0.02061861377319474
1103	10-14	0.08616976402488774
1103	15-19	0.04711894967306307
1103	20-24	0.11750385107820449
1103	25-29	0.1152196450833145
1103	30-34	0.15182583915595416
1103	35-39	0.19331900069965968
1103	40-44	0.18817255726157356
1103	45-49	0.17282959307190282
1103	50-54	0.07719323787983257
1103	55-59	0.19364769180165098
1103	60-64	0.1987715736959359
1103	65-69	0.1969456982055533
1103	70-74	0.22182064499811105
1103	75-79	0.25841598947107514
1103	80-84	0.26240442844006395
1103	85-89	0.26533209004913516
1103	90-94	0.1858528307654339
1103	95-99	0.34544540662168544
1103	100-104	0.3773271832824392
1103	105-109	0.4286648294474773
1103	110-114	0.42748594691213526
1103	115-119	0.5522266332208332
1103	120-124	0.5912298668218057
1103	125-129	0.6866006454253153
1103	130-134	0.9087303238206701
1103	135-139	1.0161475243478577
1103	140-144	1.06465896880745
1103	145-149	1.0422899211215224
1103	150	1.2262291422927305
1104	1	0.015116600360375543
1104	2	-0.050034828021150446
1104	3	-0.201636620016437
1104	4	-0.026477632273007146
1104	5	-0.08573916394073677
1104	6	-0.27478352654427596
1104	7	-0.22551744108093885
1104	8	-0.02694410457219476
1104	9	-0.04892863267587444
1104	10-14	-0.013754575756109944
1104	15-19	-0.009252646917396135
1104	20-24	-0.04153095657030548
1104	25-29	-0.07345016803070337
1104	30-34	-0.023894515658703597
1104	35-39	-0.04328240636581171
1104	40-44	0.03670303918966766
1104	45-49	-0.05220130737713902
1104	50-54	0.011191012314725413
1104	55-59	0.027928806421101626
1104	60-64	0.04975577387533292
1104	65-69	0.05697198714670293
1104	70-74	0.07391086261620927
1104	75-79	0.06565451323565696
1104	80-84	0.10184658584197592
1104	85-89	0.09291408568127935
1104	90-94	0.10478418247936361
1104	95-99	0.1336007926563454
1104	100-104	0.15555978466726117
1104	105-109	0.34277050166365797
1104	110-114	0.25866532015685806
1104	115-119	0.3262772950706392
1104	120-124	0.3591094030972215
1104	125-129	0.4681228979200043
1104	130-134	0.2158876168931485
1104	135-139	0.3736721424441427
1104	140-144	0.3609386975855813
1104	145-149	0.6993630650986304
1104	150	0.8220634535915252
1105	1	-0.010357303583703015
1105	2	-0.19209309216100579
1105	3	-0.07059269184468775
