##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-2_H3K4me3_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	51662371
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.835326179667597	32.0	32.0	32.0	32.0	32.0
2	31.813165175868527	32.0	32.0	32.0	32.0	32.0
3	36.28015857034514	37.0	37.0	37.0	32.0	37.0
4	36.57936038204673	37.0	37.0	37.0	37.0	37.0
5	36.666415523205465	37.0	37.0	37.0	37.0	37.0
6	40.40584018104783	41.0	41.0	41.0	41.0	41.0
7	40.475063020239624	41.0	41.0	41.0	41.0	41.0
8	40.50785220446038	41.0	41.0	41.0	41.0	41.0
9	40.48811542157057	41.0	41.0	41.0	41.0	41.0
10-14	40.50940705760485	41.0	41.0	41.0	41.0	41.0
15-19	40.49184296632456	41.0	41.0	41.0	41.0	41.0
20-24	40.4411071338557	41.0	41.0	41.0	41.0	41.0
25-29	40.3710268543424	41.0	41.0	41.0	41.0	41.0
30-34	40.29183973766903	41.0	41.0	41.0	41.0	41.0
35-39	40.22309364392122	41.0	41.0	41.0	41.0	41.0
40-44	40.16884670662908	41.0	41.0	41.0	41.0	41.0
45-49	40.13540325123676	41.0	41.0	41.0	41.0	41.0
50-54	40.09482739381048	41.0	41.0	41.0	41.0	41.0
55-59	39.987865140761734	41.0	41.0	41.0	41.0	41.0
60-64	39.94095663553653	41.0	41.0	41.0	39.4	41.0
65-69	39.874028960072316	41.0	41.0	41.0	37.0	41.0
70-74	39.79837005932229	41.0	41.0	41.0	37.0	41.0
75-79	39.545417909681305	41.0	41.0	41.0	37.0	41.0
80-84	39.62479765398301	41.0	41.0	41.0	37.0	41.0
85-89	39.577494792099266	41.0	41.0	41.0	37.0	41.0
90-94	39.50187415130444	41.0	41.0	41.0	37.0	41.0
95-99	39.420816106175224	41.0	41.0	41.0	37.0	41.0
100-104	39.32431857608704	41.0	41.0	41.0	37.0	41.0
105-109	39.235549022711325	41.0	41.0	41.0	37.0	41.0
110-114	39.09598237758	41.0	41.0	41.0	37.0	41.0
115-119	38.97467596676893	41.0	41.0	41.0	37.0	41.0
120-124	38.70302438113032	41.0	41.0	41.0	32.0	41.0
125-129	38.66169906139229	41.0	41.0	41.0	32.0	41.0
130-134	38.49042894295347	41.0	41.0	41.0	32.0	41.0
135-139	38.274026219199264	41.0	41.0	41.0	32.0	41.0
140-144	38.010015436573745	41.0	41.0	41.0	32.0	41.0
145-149	37.74044599695202	41.0	38.6	41.0	30.0	41.0
150	37.55431714506483	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.15785868896518807
1101	2	-0.7140542061360051
1101	3	-0.757013321649886
1101	4	-0.32684729569692195
1101	5	-0.23281223544049823
1101	6	-0.545373487561676
1101	7	-0.3453930159781251
1101	8	-0.2939026931497324
1101	9	-0.47304301432964024
1101	10-14	-0.279599132446009
1101	15-19	-0.41021048758868517
1101	20-24	-0.243280579662418
1101	25-29	-0.33180322952630803
1101	30-34	-0.39460620840041827
1101	35-39	-0.3588710631575296
1101	40-44	-0.48855830517503307
1101	45-49	-0.40226655232185493
1101	50-54	-0.5913169788519212
1101	55-59	-0.8292902948167793
1101	60-64	-0.9732967093093379
1101	65-69	-0.7907874188853583
1101	70-74	-0.8526086490521791
1101	75-79	-1.406934415263926
1101	80-84	-0.8551370758337953
1101	85-89	-0.6987913163751358
1101	90-94	-0.894144141662899
1101	95-99	-0.998553839114507
1101	100-104	-1.2234669602017618
1101	105-109	-1.3487689818790543
1101	110-114	-1.3222077412318853
1101	115-119	-1.313655075582112
1101	120-124	-1.1776141767411232
1101	125-129	-1.249794938641351
1101	130-134	-1.2820958401766802
1101	135-139	-1.6278006522742174
1101	140-144	-1.9084544951025322
1101	145-149	-1.0599056622263134
1101	150	-1.6052556542467826
1102	1	0.00845884753896442
1102	2	-0.01738434016110446
1102	3	-0.07213865983968759
1102	4	-0.1279891628854628
1102	5	0.02296674996883752
1102	6	-0.02773265437061667
1102	7	-0.05937288571704613
1102	8	-0.09707205020391996
1102	9	-0.07524603126708485
1102	10-14	-0.00871137435063929
1102	15-19	-0.0653339585610837
1102	20-24	-0.12157639990318359
1102	25-29	-0.08914832673583106
1102	30-34	-0.08085130097503423
1102	35-39	-0.13385751238531896
1102	40-44	-0.09098990561119535
1102	45-49	-0.05847665579970851
1102	50-54	-0.15276068863876446
1102	55-59	-0.11070542562504215
1102	60-64	-0.1726477962271602
1102	65-69	-0.12536338018728088
1102	70-74	-0.02109720595208131
1102	75-79	-0.03664664353390634
1102	80-84	0.03012146001300664
1102	85-89	0.07222926353242087
1102	90-94	-0.131907083024295
1102	95-99	-0.013295071844567019
1102	100-104	-0.07779127098791605
1102	105-109	-0.29300275936163445
1102	110-114	-0.12270505730477055
1102	115-119	0.024106365051302703
1102	120-124	-0.3357874702045862
1102	125-129	0.030159510919958166
1102	130-134	-0.024334402346106287
1102	135-139	0.048586373404781114
1102	140-144	0.24710335961821528
1102	145-149	0.30253785055542437
1102	150	0.03961495375708779
1103	1	-0.08739569003509118
1103	2	-0.018564933137586337
1103	3	-0.022463810151208463
1103	4	0.009596370498812234
1103	5	0.0034916562338764834
1103	6	0.033050712941111726
1103	7	-0.060908543475513
1103	8	-0.021253464211021367
1103	9	-7.231686646633761E-4
1103	10-14	0.018922273982340698
1103	15-19	-0.01789752604133099
1103	20-24	-0.027185649793757705
