##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-2_H3K4me3_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	51662371
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.6363938465	32.0	32.0	32.0	32.0	32.0
2	31.542869122286316	32.0	32.0	32.0	32.0	32.0
3	35.57580016991477	37.0	37.0	37.0	32.0	37.0
4	36.109276749996624	37.0	37.0	37.0	37.0	37.0
5	36.26843806684753	37.0	37.0	37.0	37.0	37.0
6	39.74708553349207	41.0	41.0	41.0	37.0	41.0
7	39.87561438091953	41.0	41.0	41.0	37.0	41.0
8	39.92247370915284	41.0	41.0	41.0	37.0	41.0
9	39.95413878700999	41.0	41.0	41.0	37.0	41.0
10-14	39.89608839671722	41.0	41.0	41.0	37.0	41.0
15-19	39.81654526076629	41.0	41.0	41.0	37.0	41.0
20-24	39.71555123166918	41.0	41.0	41.0	37.0	41.0
25-29	39.634981580694394	41.0	41.0	41.0	37.0	41.0
30-34	39.55773622933411	41.0	41.0	41.0	37.0	41.0
35-39	39.46780292758921	41.0	41.0	41.0	37.0	41.0
40-44	39.31218985284279	41.0	41.0	41.0	37.0	41.0
45-49	39.203980057361285	41.0	41.0	41.0	37.0	41.0
50-54	39.12712060776305	41.0	41.0	41.0	37.0	41.0
55-59	39.03681788820726	41.0	41.0	41.0	37.0	41.0
60-64	38.905845695699874	41.0	41.0	41.0	34.0	41.0
65-69	38.810830366264064	41.0	41.0	41.0	32.0	41.0
70-74	38.672479879020656	41.0	41.0	41.0	32.0	41.0
75-79	38.313410346575075	41.0	40.2	41.0	32.0	41.0
80-84	38.47379965971752	41.0	41.0	41.0	32.0	41.0
85-89	38.358809041110405	41.0	41.0	41.0	32.0	41.0
90-94	38.21657176361495	41.0	41.0	41.0	32.0	41.0
95-99	38.08136807348622	41.0	41.0	41.0	32.0	41.0
100-104	37.92246859517927	41.0	40.2	41.0	30.0	41.0
105-109	37.65048677692319	41.0	37.0	41.0	27.0	41.0
110-114	37.505985205363494	41.0	37.0	41.0	27.0	41.0
115-119	37.18590862583523	41.0	37.0	41.0	27.0	41.0
120-124	36.93306383092638	41.0	37.0	41.0	23.0	41.0
125-129	36.5851687720643	41.0	37.0	41.0	22.0	41.0
130-134	36.25632283117629	41.0	37.0	41.0	22.0	41.0
135-139	35.812939351931796	41.0	37.0	41.0	22.0	41.0
140-144	35.413807000843995	41.0	32.0	41.0	16.0	41.0
145-149	35.02583531444966	41.0	32.0	41.0	12.0	41.0
150	34.74920485163176	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.2231456043045661
1101	2	0.07083752826836687
1101	3	-0.22498682819789906
1101	4	2.0749458716551317E-4
1101	5	-0.02689879777234694
1101	6	0.057429144564316914
1101	7	-0.1049330389216081
1101	8	-0.12610929188706876
1101	9	-0.2545671706649699
1101	10-14	-0.15818044373136786
1101	15-19	-0.7422127235125018
1101	20-24	-0.5177497085549874
1101	25-29	-0.2008279265042816
1101	30-34	-0.6622260816168932
1101	35-39	-0.3850004230592958
1101	40-44	-0.16543089828192592
1101	45-49	-0.3340771054927103
1101	50-54	-0.3383987347449917
1101	55-59	-0.6581960489937089
1101	60-64	-0.12804550846471585
1101	65-69	-0.2742951489231302
1101	70-74	-0.2993771817661468
1101	75-79	-0.04456545348187291
1101	80-84	-0.41963656906471414
1101	85-89	-0.38066245855111447
1101	90-94	-0.13480783300592947
1101	95-99	-0.3380830639140484
1101	100-104	-0.5241965020112573
1101	105-109	-0.36739205903851513
1101	110-114	-0.20530138599285408
1101	115-119	-0.13534175141908378
1101	120-124	-0.40914011494471225
1101	125-129	-0.3581376912655685
1101	130-134	-0.5635887373329425
1101	135-139	-0.2135822253317201
1101	140-144	-0.035726252770288625
1101	145-149	0.14206036276888767
1101	150	0.060562007734276335
1102	1	0.09176606138520782
1102	2	0.12655635729466042
1102	3	0.339505367885927
1102	4	0.19123280416268784
1102	5	0.091886857702832
1102	6	0.1301618996546594
1102	7	0.22621060355896816
1102	8	0.23675711832814983
1102	9	0.08907244458885799
1102	10-14	0.2044955915149842
1102	15-19	0.18288214230891242
1102	20-24	0.3136221494955933
1102	25-29	0.24311633804475008
1102	30-34	0.2196938251193572
1102	35-39	0.3075103398877914
1102	40-44	0.3926423621281714
1102	45-49	0.363409975158568
1102	50-54	0.36717229810367513
1102	55-59	0.3413049553543388
1102	60-64	0.31667659950942095
1102	65-69	0.35915291420961637
1102	70-74	0.34214798995351714
1102	75-79	0.40531245686921835
1102	80-84	0.2324320385583718
1102	85-89	0.42998948958315
1102	90-94	0.2937658629171551
1102	95-99	0.3412560750546447
1102	100-104	0.21526903755373183
1102	105-109	0.27242062676260304
1102	110-114	0.22799846307493965
1102	115-119	0.44918533963933527
1102	120-124	0.2530939456467891
1102	125-129	0.5244841747532121
1102	130-134	0.6100854484864229
1102	135-139	0.6503243758764512
1102	140-144	0.9429777197269757
1102	145-149	0.807686864829634
1102	150	0.3910135737991496
1103	1	0.06203818568270947
1103	2	0.10241065130352922
1103	3	0.3198562951172619
1103	4	0.11097930000334344
1103	5	0.04336848880166855
1103	6	0.11245219626288616
1103	7	0.10227964114764632
1103	8	0.10668406745839576
1103	9	0.01266368324877476
1103	10-14	0.10567072829822166
1103	15-19	0.0639303045087658
1103	20-24	0.17440433651804454
1103	25-29	0.16299201502415883
1103	30-34	0.2080996832290012
