##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-3_H3K27ac_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65535838
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.836901208160334	32.0	32.0	32.0	32.0	32.0
2	31.81688805138953	32.0	32.0	32.0	32.0	32.0
3	36.289568480073456	37.0	37.0	37.0	32.0	37.0
4	36.5858646836865	37.0	37.0	37.0	37.0	37.0
5	36.67144668234806	37.0	37.0	37.0	37.0	37.0
6	40.41688259178131	41.0	41.0	41.0	41.0	41.0
7	40.48514740896424	41.0	41.0	41.0	41.0	41.0
8	40.51720129068923	41.0	41.0	41.0	41.0	41.0
9	40.49844317242117	41.0	41.0	41.0	41.0	41.0
10-14	40.51891736548787	41.0	41.0	41.0	41.0	41.0
15-19	40.50223328188769	41.0	41.0	41.0	41.0	41.0
20-24	40.455736597127206	41.0	41.0	41.0	41.0	41.0
25-29	40.38727664396388	41.0	41.0	41.0	41.0	41.0
30-34	40.310338987349176	41.0	41.0	41.0	41.0	41.0
35-39	40.24654342559868	41.0	41.0	41.0	41.0	41.0
40-44	40.19578740413756	41.0	41.0	41.0	41.0	41.0
45-49	40.16524832107891	41.0	41.0	41.0	41.0	41.0
50-54	40.124995291889	41.0	41.0	41.0	41.0	41.0
55-59	40.02182155967854	41.0	41.0	41.0	41.0	41.0
60-64	39.974901091521865	41.0	41.0	41.0	41.0	41.0
65-69	39.90976076936713	41.0	41.0	41.0	37.8	41.0
70-74	39.84047544795261	41.0	41.0	41.0	37.0	41.0
75-79	39.59357944885057	41.0	41.0	41.0	37.0	41.0
80-84	39.67068508988929	41.0	41.0	41.0	37.0	41.0
85-89	39.62598254713704	41.0	41.0	41.0	37.0	41.0
90-94	39.553701420587615	41.0	41.0	41.0	37.0	41.0
95-99	39.475534988962835	41.0	41.0	41.0	37.0	41.0
100-104	39.381495010409424	41.0	41.0	41.0	37.0	41.0
105-109	39.29736625935873	41.0	41.0	41.0	37.0	41.0
110-114	39.16365276049419	41.0	41.0	41.0	37.0	41.0
115-119	39.048675333944765	41.0	41.0	41.0	37.0	41.0
120-124	38.784172394347046	41.0	41.0	41.0	33.0	41.0
125-129	38.74888951904453	41.0	41.0	41.0	33.0	41.0
130-134	38.58910606132785	41.0	41.0	41.0	32.0	41.0
135-139	38.386218239858316	41.0	41.0	41.0	32.0	41.0
140-144	38.13827579041562	41.0	41.0	41.0	32.0	41.0
145-149	37.88538571826914	41.0	41.0	41.0	32.0	41.0
150	37.70870649430011	41.0	41.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.13352925664225168
1101	2	-0.6955241978606139
1101	3	-0.7435615583837389
1101	4	-0.29787427839863057
1101	5	-0.22659046402402083
1101	6	-0.5185424737612081
1101	7	-0.3288980051406085
1101	8	-0.2720569264551713
1101	9	-0.45100733818385663
1101	10-14	-0.2631106948689066
1101	15-19	-0.3758295891636365
1101	20-24	-0.2010872103274437
1101	25-29	-0.31123177937418234
1101	30-34	-0.3564177809725919
1101	35-39	-0.3006614771282585
1101	40-44	-0.42105407071380085
1101	45-49	-0.3394986567661462
1101	50-54	-0.5332560847784933
1101	55-59	-0.7533612680693551
1101	60-64	-0.8895532830368751
1101	65-69	-0.7157692241022673
1101	70-74	-0.7593665234741351
1101	75-79	-1.295936856162207
1101	80-84	-0.7738532108190554
1101	85-89	-0.6471877711368634
1101	90-94	-0.8693333925206019
1101	95-99	-0.9068361034083097
1101	100-104	-1.142918636501065
1101	105-109	-1.2675657903382245
1101	110-114	-1.2333819181549046
1101	115-119	-1.2206599242968608
1101	120-124	-1.09346639095115
1101	125-129	-1.1687209277308952
1101	130-134	-1.2125869582192692
1101	135-139	-1.5618579529723462
1101	140-144	-1.8486746803339713
1101	145-149	-0.9696526112730837
1101	150	-1.5338831581849135
1102	1	0.015577343178858172
1102	2	-0.022237397693523064
1102	3	-0.0775753180246852
1102	4	-0.12462364398712111
1102	5	0.019766119302182972
1102	6	-0.050889209550120995
1102	7	-0.06840973465927647
1102	8	-0.11167976459383766
1102	9	-0.08375537855881277
1102	10-14	-0.022204644643785798
1102	15-19	-0.07376145900043696
1102	20-24	-0.1284161566327171
1102	25-29	-0.11603137405076325
1102	30-34	-0.10561127318154462
1102	35-39	-0.16437914022993994
1102	40-44	-0.10578714192111249
1102	45-49	-0.0808749148445429
1102	50-54	-0.18999952527614994
1102	55-59	-0.1219903226407908
1102	60-64	-0.21164111641994765
1102	65-69	-0.15641763380697427
1102	70-74	-0.06566682738179708
1102	75-79	-0.06176186621851798
1102	80-84	-0.01447351302792299
1102	85-89	0.028111700343217194
1102	90-94	-0.16083275019535392
1102	95-99	-0.07153980705047047
1102	100-104	-0.1303459608352
1102	105-109	-0.3444630858761428
1102	110-114	-0.17581616621875185
1102	115-119	-0.0426449774674893
1102	120-124	-0.40647312533220514
1102	125-129	-0.04103195233901147
1102	130-134	-0.10139839589475486
1102	135-139	-0.036641128745479534
1102	140-144	0.15183420623984745
1102	145-149	0.18039390205204597
1102	150	-0.07313840346124323
1103	1	-0.0755470247445551
1103	2	-0.015994708190753215
1103	3	-0.026021401484776163
1103	4	7.458532697910414E-4
1103	5	0.011963285575234295
1103	6	0.015249122044295405
1103	7	-0.04622778512740666
1103	8	-0.01678860409298011
1103	9	-0.010120544391924113
1103	10-14	0.012912292073160359
1103	15-19	-0.015289768134579163
1103	20-24	-0.04276849937282634
1103	25-29	-0.06514868306130239
1103	30-34	-0.030451643807651863
1103	35-39	0.01746499925263123
1103	40-44	0.03332305399394642
1103	45-49	0.0294630256049615
1103	50-54	0.045025255429202105
1103	55-59	0.06081389627609468
1103	60-64	0.030242207606178795
1103	65-69	0.02886497212633543
1103	70-74	0.03371198045756785
1103	75-79	0.08692609073796831
1103	80-84	0.08791497379800717
1103	85-89	0.10659428161145001
1103	90-94	0.16858960439155624
1103	95-99	0.16724303138415308
1103	100-104	0.16876565576649938
1103	105-109	0.20082741555385297
1103	110-114	0.28988697491367077
1103	115-119	0.2902729677011493
1103	120-124	0.42941864822564213
1103	125-129	0.3511586575266392
1103	130-134	0.4313787628312227
1103	135-139	0.5243321274550183
1103	140-144	0.5947486498048704
1103	145-149	0.5839792878899885
1103	150	0.7661772094934705
1104	1	-0.039465151667290144
1104	2	0.018185520559484303
1104	3	0.0209149207646675
1104	4	-0.011948800026033268
1104	5	0.03406174017350594
1104	6	-0.02644485638781191
1104	7	-0.03099331025635621
1104	8	-0.05706962062860299
1104	9	-0.01094164282138621
1104	10-14	-0.007798501951896242
1104	15-19	-0.01400114344436787
1104	20-24	-0.008414835201598692
1104	25-29	-0.03472011184327073
1104	30-34	0.00542434523125479
1104	35-39	0.0030540913799157465
1104	40-44	0.036948141019671255
1104	45-49	0.00941021503493289
1104	50-54	-0.042955395621284254
1104	55-59	-0.019277206350871268
1104	60-64	-0.017127829081161394
1104	65-69	-0.03350234127327667
1104	70-74	0.006894910213063099
1104	75-79	0.08233899927892452
1104	80-84	0.032187338918973296
1104	85-89	0.07533314104794187
1104	90-94	0.047387088186610526
1104	95-99	0.06949940804695842
1104	100-104	-0.004801775104134265
1104	105-109	0.10418160962109368
1104	110-114	0.13825567960348906
1104	115-119	0.15307839022201364
1104	120-124	0.3067521030522471
1104	125-129	0.2930995696521279
1104	130-134	0.2476390892588114
1104	135-139	0.39060593996396165
1104	140-144	0.4123359418506283
1104	145-149	0.4099598147696213
1104	150	0.48841615346552913
1105	1	0.007257866549775116
1105	2	-0.006923994609834949
1105	3	-0.022492280402737208
1105	4	-0.03194955250085485
1105	5	0.04253816876453698
1105	6	-0.025755039205812125
1105	7	-0.03989711655339079
1105	8	-0.04651873092507941
1105	9	-0.037247850007233296
1105	10-14	-0.049644773483755955
1105	15-19	-0.018498461428571034
1105	20-24	-0.02033749723614875
1105	25-29	-0.13537122925059464
1105	30-34	-0.12487092040252179
1105	35-39	0.010148324422402766
1105	40-44	-0.017541287209255074
1105	45-49	-0.012932288955830984
1105	50-54	-0.016003926738832774
1105	55-59	-0.03654863627465943
1105	60-64	0.015473855900502542
1105	65-69	0.0468116662077378
1105	70-74	0.06301522806290905
1105	75-79	0.14405584796985238
1105	80-84	0.008278842402837938
1105	85-89	0.08933667834509862
1105	90-94	0.12221831114334947
1105	95-99	0.16854919202614127
1105	100-104	0.10413153734824476
1105	105-109	0.15970587004093773
1105	110-114	0.15809167806759206
1105	115-119	0.20729934453531484
1105	120-124	0.2616008184801686
1105	125-129	0.268866682034826
1105	130-134	0.3157036834843794
