##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	A-3_H3K27ac_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	65535838
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.647887526821584	32.0	32.0	32.0	32.0	32.0
2	31.608064674476278	32.0	32.0	32.0	32.0	32.0
3	35.81187320745025	37.0	37.0	37.0	32.0	37.0
4	36.20800646510387	37.0	37.0	37.0	37.0	37.0
5	36.34197386779429	37.0	37.0	37.0	37.0	37.0
6	39.93195965541785	41.0	41.0	41.0	37.0	41.0
7	40.00235593233736	41.0	41.0	41.0	37.0	41.0
8	40.02879230750052	41.0	41.0	41.0	37.0	41.0
9	40.04547394358488	41.0	41.0	41.0	41.0	41.0
10-14	39.99111578919614	41.0	41.0	41.0	40.2	41.0
15-19	39.9129229262316	41.0	41.0	41.0	37.0	41.0
20-24	39.82660712448661	41.0	41.0	41.0	37.0	41.0
25-29	39.754381952055	41.0	41.0	41.0	37.0	41.0
30-34	39.67457222413178	41.0	41.0	41.0	37.0	41.0
35-39	39.589549189864634	41.0	41.0	41.0	37.0	41.0
40-44	39.451782604809296	41.0	41.0	41.0	37.0	41.0
45-49	39.35172359587437	41.0	41.0	41.0	37.0	41.0
50-54	39.27705384037357	41.0	41.0	41.0	37.0	41.0
55-59	39.19031801805907	41.0	41.0	41.0	37.0	41.0
60-64	39.065802939759465	41.0	41.0	41.0	37.0	41.0
65-69	38.97773159778624	41.0	41.0	41.0	37.0	41.0
70-74	38.84826649504352	41.0	41.0	41.0	32.0	41.0
75-79	38.50879198950657	41.0	40.2	41.0	32.0	41.0
80-84	38.66135415556905	41.0	41.0	41.0	32.0	41.0
85-89	38.554306280481214	41.0	41.0	41.0	32.0	41.0
90-94	38.42056219377251	41.0	41.0	41.0	32.0	41.0
95-99	38.29431107297354	41.0	41.0	41.0	32.0	41.0
100-104	38.14483034458184	41.0	41.0	41.0	32.0	41.0
105-109	37.88872739828245	41.0	38.6	41.0	28.0	41.0
110-114	37.75684951491732	41.0	37.0	41.0	27.0	41.0
115-119	37.45713442467921	41.0	37.0	41.0	27.0	41.0
120-124	37.229402651416464	41.0	37.0	41.0	27.0	41.0
125-129	36.9072166316085	41.0	37.0	41.0	24.0	41.0
130-134	36.60476932026107	41.0	37.0	41.0	22.0	41.0
135-139	36.19008323964668	41.0	37.0	41.0	22.0	41.0
140-144	35.81919819809125	41.0	37.0	41.0	22.0	41.0
145-149	35.46904024634583	41.0	32.0	41.0	22.0	41.0
150	35.20924833523911	41.0	32.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.20593027982326362
1101	2	0.05419370149759928
1101	3	-0.3524386710614493
1101	4	-0.004299073021222455
1101	5	-0.031028426972852685
1101	6	0.012567076037569791
1101	7	-0.11587644886161286
1101	8	-0.14630643075906136
1101	9	-0.25075499183932237
1101	10-14	-0.152519386511905
1101	15-19	-0.7020642973887021
1101	20-24	-0.5227637735859503
1101	25-29	-0.2020556464766372
1101	30-34	-0.6594295968516306
1101	35-39	-0.3926539475372408
1101	40-44	-0.19401374019869166
1101	45-49	-0.32430630125752913
1101	50-54	-0.3734677958354169
1101	55-59	-0.6847441264677556
1101	60-64	-0.15843429439959067
1101	65-69	-0.32162398141036164
1101	70-74	-0.32113854669963615
1101	75-79	-0.09620948193332879
1101	80-84	-0.4392302259824774
1101	85-89	-0.3952405331693072
1101	90-94	-0.18318420017138237
1101	95-99	-0.38506635567113534
1101	100-104	-0.5754498738544385
1101	105-109	-0.38823985329158717
1101	110-114	-0.2708061124385708
1101	115-119	-0.19985992234876448
1101	120-124	-0.4789636487614999
1101	125-129	-0.4347770972161058
1101	130-134	-0.6537240269788356
1101	135-139	-0.3274807485930822
1101	140-144	-0.1346227496176482
1101	145-149	0.014405763271277294
1101	150	-0.07442303958124796
1102	1	0.09614645929260135
1102	2	0.10650165082466145
1102	3	0.1938875925987915
1102	4	0.18123013280030165
1102	5	0.05940729004132095
1102	6	0.04767270528793688
1102	7	0.15743429548289356
1102	8	0.16840954526720964
1102	9	0.018516434655758474
1102	10-14	0.16210364336360783
1102	15-19	0.1569014011844061
1102	20-24	0.2597207490325246
1102	25-29	0.21012101309862885
1102	30-34	0.19486501581786797
1102	35-39	0.275455758021252
1102	40-44	0.3640723919432318
1102	45-49	0.3103572485661914
1102	50-54	0.30652682272921083
1102	55-59	0.2982326389400711
1102	60-64	0.26543384921015445
1102	65-69	0.3187872715166975
1102	70-74	0.3234252779883491
1102	75-79	0.34448036331637866
1102	80-84	0.17798253147088872
1102	85-89	0.36355267093584587
1102	90-94	0.2464784345095694
1102	95-99	0.2519111114762964
1102	100-104	0.16704964382955723
1102	105-109	0.21658849024353088
1102	110-114	0.152297773545655
1102	115-119	0.3699688526056093
1102	120-124	0.15375300338800457
1102	125-129	0.3992506673418319
1102	130-134	0.4420921491529697
1102	135-139	0.5216022349056288
1102	140-144	0.7972953613773157
1102	145-149	0.6134237313158124
1102	150	0.23139801823516137
1103	1	0.06730750422719112
1103	2	0.0860835066780119
1103	3	0.22644328703590588
1103	4	0.07434211563618476
1103	5	0.03344570545706915
1103	6	0.06244028594932871
1103	7	0.06187826755699177
1103	8	0.08396974952051295
1103	9	-0.0017840367190586903
1103	10-14	0.09102819655930006
1103	15-19	0.05085762873193289
1103	20-24	0.16714635799080924
1103	25-29	0.16053316284840236
1103	30-34	0.17556842466987632
1103	35-39	0.2521016435907484
1103	40-44	0.2617471733290415
1103	45-49	0.22409531985478282
1103	50-54	0.12349368927079496
1103	55-59	0.2587345530758043
1103	60-64	0.2845998841693955
1103	65-69	0.2855795140125039
1103	70-74	0.29068989490090047
1103	75-79	0.36775415777451315
1103	80-84	0.3600444932077309
1103	85-89	0.36826368968149126
1103	90-94	0.2768089518918657
1103	95-99	0.46205712277042466
1103	100-104	0.47665238561882717
1103	105-109	0.5532475739099851
1103	110-114	0.5505829617468336
1103	115-119	0.6500534793465178
1103	120-124	0.702359250432913
1103	125-129	0.7890281392985017
1103	130-134	1.0719551610613607
1103	135-139	1.1391396394966975
1103	140-144	1.1484831961629354
1103	145-149	1.1409722264336395
1103	150	1.3300345621390548
1104	1	0.04320104137458358
1104	2	-0.037996078583869775
1104	3	-0.14740618813665662
1104	4	0.007659011850122965
1104	5	-0.0575288418804476
1104	6	-0.23489889242516426
1104	7	-0.19664945878702866
1104	8	-0.013065318152506222
1104	9	-0.02875972538910787
1104	10-14	0.020733760122340072
1104	15-19	0.020489522741769406
1104	20-24	0.0039172243507721305
1104	25-29	-0.007238392823900597
1104	30-34	0.027543061343891395
1104	35-39	0.024805153223731224
1104	40-44	0.10686893252007934
1104	45-49	0.04162206102410693
1104	50-54	0.08807322595728095
1104	55-59	0.12076427668473144
1104	60-64	0.14134512328522675
1104	65-69	0.14201250039536006
1104	70-74	0.14850105695235527
1104	75-79	0.15984947041969377
1104	80-84	0.19717720342238465
1104	85-89	0.18424434454092165
1104	90-94	0.20532515189278655
1104	95-99	0.228152143116084
1104	100-104	0.23984940178601022
1104	105-109	0.43498590885422317
1104	110-114	0.37827936047413857
1104	115-119	0.4156014389735674
1104	120-124	0.44110027690403797
1104	125-129	0.5495452800937386
1104	130-134	0.34323353419465263
1104	135-139	0.5181346788031647
1104	140-144	0.4863358383043135
1104	145-149	0.8086748158316368
1104	150	0.9285905372003285
1105	1	0.002843534435097439
1105	2	-0.2023878742341374
1105	3	-0.08824419980884812
1105	4	-0.008951873996522863
1105	5	-0.11962002281627093
1105	6	-0.15791976525773777
1105	7	-0.12954271580383647
1105	8	0.022912106929020126
1105	9	-0.018894088147597188
1105	10-14	-0.028735462934761813
1105	15-19	-0.0855145896988816
1105	20-24	-0.031045328401354766
1105	25-29	0.012136654937570768
1105	30-34	-0.03680971933330568
1105	35-39	-0.025529652588986096
1105	40-44	0.06790687426921949
1105	45-49	0.07807691651015602
1105	50-54	-0.04141680098430811
1105	55-59	0.04487166680001309
1105	60-64	0.08887932237888663
1105	65-69	0.02213218902135594
1105	70-74	0.07266752251782549
1105	75-79	0.0806603014917826
1105	80-84	0.16594343855486215
1105	85-89	0.09336236620704597
1105	90-94	0.15373224511368733
1105	95-99	0.08333454042779209
1105	100-104	0.20497256502926575
1105	105-109	0.42825312364625034
1105	110-114	0.33271511821076416
1105	115-119	0.27784138814552506
1105	120-124	0.47571668707884385
1105	125-129	0.5917719695953636
1105	130-134	0.5438873444311483
1105	135-139	0.9982545665390461
1105	140-144	1.0026720940504603
1105	145-149	0.9178819910190867
1105	150	1.3040299145837508
1106	1	-0.019259886870418796
1106	2	-0.10882011085874055
1106	3	-0.17608479839718427
1106	4	-0.08124813479081894
1106	5	-0.128954524904195
1106	6	-0.251323145720562
1106	7	-0.2167207034502212
1106	8	-0.07668979509122664
1106	9	-0.048280608903603195
1106	10-14	-0.1166962487164156
1106	15-19	-0.3007093413729436
1106	20-24	-0.15392735544688207
1106	25-29	-0.07436042276598442
1106	30-34	-0.01704785535243758
1106	35-39	-0.1674622677012465
1106	40-44	-0.1027077382185908
1106	45-49	-0.002008931645399059
1106	50-54	0.024360260802964717
1106	55-59	-0.018585083272007807
1106	60-64	0.01559331482972226
1106	65-69	-0.19329429316108104
1106	70-74	-0.11723491697550514
1106	75-79	-0.011552589564466587
1106	80-84	-0.13287170411028626
1106	85-89	-0.031930549049931756
1106	90-94	-0.22124639189662076
1106	95-99	-0.04792413206291002
1106	100-104	-0.0253169523199972
1106	105-109	0.07517436059128357
1106	110-114	0.06995202438309178
1106	115-119	0.09208182274001331
1106	120-124	0.25668043907932514
1106	125-129	0.29896798719957474
1106	130-134	0.05967065133211946
1106	135-139	0.3032065398660464
1106	140-144	0.06932830605134654
1106	145-149	0.28512184563928145
1106	150	0.5030783836221389
1107	1	0.003632637707440267
1107	2	0.043895835387232296
1107	3	0.006456629474634212
1107	4	0.0363026387924279
1107	5	-0.005193761341253378
1107	6	0.014968372060437218
1107	7	0.03309667709120134
1107	8	-0.11517209487484337
1107	9	0.06421531519915646
1107	10-14	0.0867011170133054
1107	15-19	0.03902749971884134
1107	20-24	0.14368155601370347
1107	25-29	0.09311876297095267
1107	30-34	0.09903642606283825
1107	35-39	0.10308025371763563
1107	40-44	0.16950844048039215
1107	45-49	0.14078316725766626
1107	50-54	0.09821458508118042
1107	55-59	0.1145349806682816
1107	60-64	0.16901127723303233
1107	65-69	0.0573388953381766
1107	70-74	0.08020044632530698
1107	75-79	0.17244348621584749
1107	80-84	0.1996481134959751
1107	85-89	0.2034703384078682
1107	90-94	0.20141823592182817
1107	95-99	0.31679143329373716
1107	100-104	0.23298194488158686
1107	105-109	0.4852858848137984
1107	110-114	0.4489907531695394
1107	115-119	0.5061091640879667
1107	120-124	0.4916841578080593
1107	125-129	0.5958341691071212
1107	130-134	0.6663962693677874
1107	135-139	0.8776303339226885
1107	140-144	0.838473971563694
1107	145-149	0.9513591084716992
1107	150	1.1245767555437993
1108	1	-0.0172701771441659
1108	2	-0.030234046720913454
1108	3	-0.04920247436584191
1108	4	0.06411730905563928
1108	5	-0.04074132586443113
1108	6	0.02164552135273823
1108	7	0.03977635535873958
1108	8	0.0242341996260933
1108	9	0.06244256898812495
1108	10-14	0.018263953860113702
1108	15-19	0.04329799782888699
1108	20-24	-0.01081522558366288
1108	25-29	0.02261015086271101
1108	30-34	0.060284923012446257
1108	35-39	0.06280876581792683
1108	40-44	0.10083469212967344
1108	45-49	0.030722729335579402
1108	50-54	0.09421406290623935
1108	55-59	0.09839710376309796
1108	60-64	0.09069304878512696
1108	65-69	0.06277633671753335
1108	70-74	0.09378959488810068
1108	75-79	0.0670079962290302
1108	80-84	0.03754431566416372
1108	85-89	0.04755710239373201
1108	90-94	0.14183679115519965
1108	95-99	0.17177533919311827
1108	100-104	0.1029151912829036
1108	105-109	0.2415044944758904
1108	110-114	0.2540785974392321
1108	115-119	0.349656772957438
1108	120-124	0.28047525784505467
1108	125-129	0.367570243175976
1108	130-134	0.44018448617249817
1108	135-139	0.6716900249096511
1108	140-144	0.6856502286803305
1108	145-149	0.5740107031541299
1108	150	0.7240479500838362
1109	1	-0.013364884313773473
1109	2	0.030998325755248857
1109	3	0.1351730338744872
1109	4	0.024136931478999202
1109	5	-0.07969872920272536
1109	6	0.035347620253581624
1109	7	0.010570447101116542
1109	8	0.06866027897351756
1109	9	0.0361850308631233
1109	10-14	0.06492643961944111
1109	15-19	0.03667802363187178
1109	20-24	0.019494242077705337
1109	25-29	-0.02166771963606351
1109	30-34	0.05258600339727337
1109	35-39	0.035282545377782526
1109	40-44	0.17839344427265758
1109	45-49	0.05460324520223736
1109	50-54	0.07463191650590772
1109	55-59	0.044097566670409094
1109	60-64	0.16538712800619493
1109	65-69	0.13597923477561125
1109	70-74	0.15846051623897495
1109	75-79	0.2230284233049673
1109	80-84	0.13483478516739922
1109	85-89	0.23374969156319025
1109	90-94	0.15100499455067506
1109	95-99	0.20517114927257296
1109	100-104	0.2841880638783607
1109	105-109	0.36351117865534377
1109	110-114	0.3152356118980819
1109	115-119	0.4133823991658403
1109	120-124	0.38317693356845695
1109	125-129	0.2527862133548595
1109	130-134	0.4774076564903922
1109	135-139	0.6952573922151046
1109	140-144	0.6072337053394108
1109	145-149	0.6939507617210765
1109	150	0.7577448284976356
1110	1	0.02406673027854822
1110	2	0.02221788737955066
1110	3	0.07725609512882414
1110	4	0.04845598827175479
1110	5	0.002028165328503917
1110	6	0.10759349603733881
1110	7	0.10535726203542595
1110	8	0.057065409179429594
1110	9	0.0923512108550355
1110	10-14	0.05513983550160617
1110	15-19	0.13602424934502721
1110	20-24	0.1478297084600797
1110	25-29	0.10024899255135011
1110	30-34	0.10408786051502261
1110	35-39	0.13426232528487958
1110	40-44	0.2275480236310372
1110	45-49	0.2231222933725121
1110	50-54	0.1482093611651223
1110	55-59	0.19987623089007656
1110	60-64	0.19945609188253144
1110	65-69	0.2948601415719381
1110	70-74	0.27581501016830856
1110	75-79	0.31630294153821126
1110	80-84	0.30045280787967954
1110	85-89	0.3410333352964585
1110	90-94	0.3674228722601498
1110	95-99	0.2734607667315814
1110	100-104	0.33155131726786635
1110	105-109	0.48968776010311643
1110	110-114	0.38862511955851886
1110	115-119	0.4903179534790638
1110	120-124	0.5256056336609944
1110	125-129	0.6140087496919406
1110	130-134	0.710974684564448
1110	135-139	0.8312954415412364
1110	140-144	0.7827438896735686
1110	145-149	0.9419067809947279
1110	150	1.314146373781007
1111	1	0.034033064194357365
1111	2	-0.00613304435405837
1111	3	-0.05643148791259023
1111	4	-0.06923759657045991
1111	5	-0.11448064059609919
1111	6	-0.15617918151443888
1111	7	-0.060123124955744345
1111	8	-0.09776711358878032
1111	9	-0.08453540485460564
1111	10-14	0.005354492824523049
1111	15-19	-0.06494929298173702
1111	20-24	0.045730872205716366
1111	25-29	-0.06764885960826206
1111	30-34	0.03756432769015561
1111	35-39	-0.02871001043578758
1111	40-44	0.11075168885181341
1111	45-49	0.04359209617459214
