##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	B-1_input_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55787320
Sequences flagged as poor quality	0
Sequence length	150
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.663142430932332	32.0	32.0	32.0	32.0	32.0
2	31.8140486942194	32.0	32.0	32.0	32.0	32.0
3	35.9479849542871	37.0	37.0	37.0	32.0	37.0
4	36.33735560338801	37.0	37.0	37.0	37.0	37.0
5	36.57607802274782	37.0	37.0	37.0	37.0	37.0
6	40.14922484177408	41.0	41.0	41.0	37.0	41.0
7	40.326714099189566	41.0	41.0	41.0	37.0	41.0
8	40.31605553018141	41.0	41.0	41.0	37.0	41.0
9	40.263406666604524	41.0	41.0	41.0	37.0	41.0
10-14	40.36441802545811	41.0	41.0	41.0	41.0	41.0
15-19	40.322691256722855	41.0	41.0	41.0	39.4	41.0
20-24	40.40943069858886	41.0	41.0	41.0	41.0	41.0
25-29	40.39711081299478	41.0	41.0	41.0	41.0	41.0
30-34	40.40413251971953	41.0	41.0	41.0	41.0	41.0
35-39	40.406499139947925	41.0	41.0	41.0	41.0	41.0
40-44	40.349682322076056	41.0	41.0	41.0	41.0	41.0
45-49	40.30006528365227	41.0	41.0	41.0	41.0	41.0
50-54	40.248165023879984	41.0	41.0	41.0	40.2	41.0
55-59	40.1533836111862	41.0	41.0	41.0	39.4	41.0
60-64	40.179803604116486	41.0	41.0	41.0	40.2	41.0
65-69	40.25732303684781	41.0	41.0	41.0	41.0	41.0
70-74	40.206429073846884	41.0	41.0	41.0	41.0	41.0
75-79	40.028328118289245	41.0	41.0	41.0	39.4	41.0
80-84	40.08360225226808	41.0	41.0	41.0	40.2	41.0
85-89	40.054045356543384	41.0	41.0	41.0	39.4	41.0
90-94	39.92279217929809	41.0	41.0	41.0	37.0	41.0
95-99	39.77149636153879	41.0	41.0	41.0	37.0	41.0
100-104	39.688090817053045	41.0	41.0	41.0	37.0	41.0
105-109	39.6584180813848	41.0	41.0	41.0	37.0	41.0
110-114	39.44620015085866	41.0	41.0	41.0	37.0	41.0
115-119	39.40602026410303	41.0	41.0	41.0	37.0	41.0
120-124	39.32375584631059	41.0	41.0	41.0	37.0	41.0
125-129	39.22402872910905	41.0	41.0	41.0	37.0	41.0
130-134	39.04905309306846	41.0	41.0	41.0	37.0	41.0
135-139	38.89649017375275	41.0	41.0	41.0	36.0	41.0
140-144	38.611726854776315	41.0	40.2	41.0	33.0	41.0
145-149	38.41619095880569	41.0	39.4	41.0	32.0	41.0
150	38.18974408521506	41.0	37.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.1384455471177688
1101	2	-0.19179160704679887
1101	3	-0.5316118204038318
1101	4	-0.4798862558195154
1101	5	-0.09064258642214895
1101	6	-0.18007733952567406
1101	7	-0.1026177816945264
1101	8	-0.20444086400067363
1101	9	-0.13818353375764758
1101	10-14	-0.11228247734798202
1101	15-19	-0.20424333369072656
1101	20-24	-0.18516985864871316
1101	25-29	-0.2955079451364213
1101	30-34	-0.14377467928049725
1101	35-39	-0.15375873186975753
1101	40-44	-0.5648975843810433
1101	45-49	-0.3020301672333616
1101	50-54	-0.19161706404521084
1101	55-59	-0.37695165785991946
1101	60-64	-0.22834663125045296
1101	65-69	-0.3520401179765358
1101	70-74	-0.6693681276894452
1101	75-79	-0.7870600117912403
1101	80-84	-0.900267562166654
1101	85-89	-0.8162418182618509
1101	90-94	-0.773566563344545
1101	95-99	-0.4975788306629596
1101	100-104	-0.6366693295027588
1101	105-109	-0.9198580363326485
1101	110-114	-0.4581547665714609
1101	115-119	-0.6377061170988867
1101	120-124	-0.4544778575758883
1101	125-129	-0.5810674815565804
1101	130-134	-0.30275311481157985
1101	135-139	-0.5360769446433196
1101	140-144	-0.3884433918229817
1101	145-149	-0.3909380568512333
1101	150	0.07199185594968327
1102	1	0.054195503008095613
1102	2	-0.10264742940552551
1102	3	0.11101004826051053
1102	4	0.008104858573076967
1102	5	-0.018435251965655652
1102	6	-0.005950265771879515
1102	7	-0.020599331843669688
1102	8	0.06113596184426484
1102	9	0.04856189442423897
1102	10-14	0.02978142330510991
1102	15-19	0.026695449494688717
1102	20-24	-0.008804730837638886
1102	25-29	0.03601862878388573
1102	30-34	0.049157934957094085
1102	35-39	0.031944296002940575
1102	40-44	0.04357681063872576
1102	45-49	0.039764338522658704
1102	50-54	0.05881113453211384
1102	55-59	0.0579161126613954
1102	60-64	0.013457889981538074
1102	65-69	0.05694119744942583
1102	70-74	0.07934563788640503
1102	75-79	0.12590390490675674
1102	80-84	0.021084927741227943
1102	85-89	0.08895521273610285
1102	90-94	0.07048706177743469
1102	95-99	0.08711885873526626
1102	100-104	0.1772270690699287
1102	105-109	0.19477870052632085
1102	110-114	0.2631303336007633
1102	115-119	0.2102348732578676
1102	120-124	0.290359859959473
1102	125-129	0.3162824925593952
1102	130-134	0.43069795925661936
1102	135-139	0.4734897718945845
1102	140-144	0.48997779838562394
1102	145-149	0.5036970981519389
1102	150	0.7835913295096759
1103	1	-0.14477297283832513
1103	2	-0.022705080737342342
1103	3	0.12487410663845822
1103	4	0.003020683479995512
1103	5	-0.019850159129077838
1103	6	0.009531196185413648
1103	7	-0.04807783094118179
1103	8	0.03145063399485082
1103	9	0.08865077044280412
1103	10-14	0.04360272264595011
1103	15-19	0.06623994890843932
1103	20-24	0.02507514573859737
1103	25-29	0.06142803303461619
