##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	B-2_H3K4me3_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	57073401
Sequences flagged as poor quality	0
Sequence length	150
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.07144205406648	32.0	32.0	32.0	32.0	32.0
2	31.039649205415323	32.0	32.0	32.0	32.0	32.0
3	33.70412404545508	37.0	32.0	37.0	32.0	37.0
4	34.516551186427456	37.0	32.0	37.0	32.0	37.0
5	35.28699101005037	37.0	37.0	37.0	32.0	37.0
6	37.63670100893409	41.0	37.0	41.0	32.0	41.0
7	38.13689287589502	41.0	37.0	41.0	32.0	41.0
8	38.27668578923481	41.0	37.0	41.0	32.0	41.0
9	38.675754718034064	41.0	37.0	41.0	32.0	41.0
10-14	38.39710911918496	41.0	37.0	41.0	32.0	41.0
15-19	38.48357999902616	41.0	37.8	41.0	32.0	41.0
20-24	38.897750116556054	41.0	40.2	41.0	35.0	41.0
25-29	38.52452214999418	41.0	37.8	41.0	32.0	41.0
30-34	38.23668304610058	41.0	37.0	41.0	31.0	41.0
35-39	37.5992035869739	41.0	37.0	41.0	27.0	41.0
40-44	37.47984188991997	41.0	37.0	41.0	29.0	41.0
45-49	37.413776683818085	41.0	37.0	41.0	27.0	41.0
50-54	37.85124310359567	41.0	37.0	41.0	31.0	41.0
55-59	37.06613557863845	41.0	37.0	41.0	27.0	41.0
60-64	38.161315345479416	41.0	40.2	41.0	31.0	41.0
65-69	38.28855153033547	41.0	41.0	41.0	32.0	41.0
70-74	38.16385809564774	41.0	41.0	41.0	32.0	41.0
75-79	37.79456187305186	41.0	39.4	41.0	28.0	41.0
80-84	37.47063372655854	41.0	37.0	41.0	27.0	41.0
85-89	36.53705855377358	41.0	37.0	41.0	23.0	41.0
90-94	36.14377047549699	41.0	35.0	41.0	22.0	41.0
95-99	35.567015328208676	41.0	33.0	41.0	22.0	41.0
100-104	35.82160246241502	41.0	35.0	41.0	22.0	41.0
105-109	35.37984666797762	41.0	33.0	41.0	22.0	41.0
110-114	35.34645384458515	41.0	33.0	41.0	22.0	41.0
115-119	34.63669928834274	39.4	32.0	41.0	18.0	41.0
120-124	34.56087111752811	39.4	32.0	41.0	16.0	41.0
125-129	33.40284212255022	37.0	29.0	41.0	12.0	41.0
130-134	32.69525024100106	37.0	27.0	41.0	12.0	41.0
135-139	32.09926570522756	37.0	27.0	41.0	12.0	41.0
140-144	32.78402237848065	37.0	27.0	41.0	12.0	41.0
145-149	32.81855916383886	37.0	27.0	41.0	12.0	41.0
150	31.561155449628803	37.0	27.0	41.0	12.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-2.102218345708174
1101	2	0.33508836301504275
1101	3	-0.002845748432541484
1101	4	0.7050704395301963
1101	5	0.5674514758240647
1101	6	0.06535476116281558
1101	7	0.4622763672876786
1101	8	0.579319463569135
1101	9	0.6781134273040266
1101	10-14	0.6239184428655022
1101	15-19	0.5330341960835909
1101	20-24	0.48986561629006786
1101	25-29	0.42314846959838803
1101	30-34	0.5751807814543497
1101	35-39	0.9793655542131958
1101	40-44	0.8337553183047319
1101	45-49	0.9967118289490031
1101	50-54	0.9380664289686678
1101	55-59	1.0341301791283826
1101	60-64	0.1285001338552192
1101	65-69	0.02108630829982161
1101	70-74	-0.03532086544788626
1101	75-79	-0.4221468437242635
1101	80-84	0.791751650043544
1101	85-89	1.0122427125981517
1101	90-94	1.1568925917937634
1101	95-99	1.3786678216941155
1101	100-104	1.606062098517711
1101	105-109	1.427477846008486
1101	110-114	1.396527412716324
1101	115-119	1.3926264016623051
1101	120-124	1.0261905164852365
1101	125-129	0.8478996172966262
1101	130-134	2.001216097461139
1101	135-139	2.172154011584553
1101	140-144	2.2236221517694474
1101	145-149	2.4201645725242855
1101	150	3.162384221783359
1102	1	0.43028725097745024
1102	2	0.25533849655775853
1102	3	0.7099310226326239
1102	4	0.8518166310595632
1102	5	0.5602691922273024
1102	6	0.5852280224878612
1102	7	0.5883778038673455
1102	8	0.6391437879501041
1102	9	0.49827252918908727
1102	10-14	0.421520607491658
1102	15-19	0.3442912568957155
1102	20-24	0.4623802500104546
1102	25-29	0.558190108380586
1102	30-34	0.6908655381178548
1102	35-39	0.8440038462076629
1102	40-44	0.9843015520275387
1102	45-49	1.0083832703674034
1102	50-54	0.9114458911931891
1102	55-59	1.038821769732749
1102	60-64	0.3100277988299567
1102	65-69	0.36819625240048737
1102	70-74	0.300001361788496
1102	75-79	0.23192778539489467
1102	80-84	0.3989197871936554
1102	85-89	0.9719513863315186
1102	90-94	1.2716393336076024
1102	95-99	1.0888067528773604
1102	100-104	1.1098493668088665
1102	105-109	1.2789367121970585
1102	110-114	1.3901364117490473
1102	115-119	1.3031072592044737
1102	120-124	1.3327857374489511
1102	125-129	1.2452274146265125
1102	130-134	1.8624510345645007
1102	135-139	2.1714833336532635
1102	140-144	1.7927398630032982
1102	145-149	2.065509460341417
1102	150	2.7136083057641507
1103	1	0.4447518834956661
1103	2	0.299921855284893
1103	3	0.6118404481793789
1103	4	0.6614136672825026
1103	5	0.48062069478767455
1103	6	0.5943665516447538
1103	7	0.3705921623489772
1103	8	0.6770456594112062
1103	9	0.526528491257352
1103	10-14	0.49403617484143325
1103	15-19	0.41289425757216236
1103	20-24	0.3081296102157083
1103	25-29	0.37998100328236717
1103	30-34	0.5652607846330753
1103	35-39	0.5669780935592925
1103	40-44	0.7047239829772494
1103	45-49	0.8406745944692204
1103	50-54	0.6237022158844638
1103	55-59	0.6563183618259032
1103	60-64	-0.01141512603702921
1103	65-69	0.18291316099671207
1103	70-74	0.17622858975994404
1103	75-79	-0.07195974614096201
1103	80-84	0.4217907496681832
1103	85-89	0.8499638749952609
1103	90-94	0.7322477070041202
1103	95-99	1.0078256790560403
1103	100-104	0.9759370796750417
1103	105-109	1.0272764775402479
1103	110-114	0.6303071236008719
1103	115-119	1.0430529075547454
1103	120-124	0.9893854546055394
1103	125-129	0.9613263876693665
1103	130-134	1.5191492676362017
1103	135-139	1.525944175400916
1103	140-144	1.0534675863801084
1103	145-149	0.6672408873824835
1103	150	1.3304839314758787
1104	1	0.24120178561008743
1104	2	0.21497897261572518
1104	3	0.31281254417644533
1104	4	0.3187036618622372
1104	5	0.0097876221137696
1104	6	0.14983039805826337
1104	7	0.08490193036621463
1104	8	0.040613987074898716
1104	9	-0.07386930280174653
1104	10-14	0.22506152425854964
1104	15-19	0.1566318855096398
1104	20-24	0.09816640757640727
1104	25-29	0.012979579970583188
1104	30-34	0.3487606006821622
1104	35-39	0.2695017965458959
1104	40-44	0.32880209547486317
1104	45-49	0.42963863802700786
1104	50-54	0.3826099326221808
1104	55-59	0.6561771199708204
1104	60-64	0.03418436972275174
1104	65-69	-0.038935660328171195
1104	70-74	-0.14810095462934214
1104	75-79	-0.15873675610909288
1104	80-84	0.08198438455225698
1104	85-89	0.6430244924182702
1104	90-94	0.8885455381184002
1104	95-99	0.8828322255265348
1104	100-104	0.9133055185973689
1104	105-109	1.047982279461607
1104	110-114	0.871036287066481
1104	115-119	1.2302763769001146
1104	120-124	1.0450266217981579
1104	125-129	1.1148421115827674
1104	130-134	1.2763017688076133
1104	135-139	1.3514033343874488
1104	140-144	1.5095726425163392
1104	145-149	1.7691663802461903
1104	150	2.2751607132736886
1105	1	0.28005985725649296
1105	2	0.09357010867973514
1105	3	0.374045967086559
1105	4	0.28857707121114373
1105	5	0.17929153105668405
1105	6	0.46498113695289334
1105	7	0.32251595490441076
1105	8	0.29857454499830993
1105	9	0.3246681605537276
1105	10-14	0.23637488586350486
1105	15-19	-0.026118499371264647
1105	20-24	0.12933674525068994
1105	25-29	0.28384512420744556
1105	30-34	0.3544505354874943
1105	35-39	0.40293551169661157
1105	40-44	0.4893578618920529
1105	45-49	0.4918282747390208
1105	50-54	0.5108037990819625
1105	55-59	0.582595290430902
1105	60-64	0.1606282208497518
1105	65-69	0.011754699181366846
1105	70-74	0.01996958802747173
1105	75-79	0.05036431235884464
1105	80-84	0.2221096788266692
1105	85-89	0.76093971567159
1105	90-94	1.00139061398621
1105	95-99	0.9972769684407368
1105	100-104	1.052980769756708
1105	105-109	1.2702495701252445
1105	110-114	1.2489697668388118
1105	115-119	1.4854554533599469
1105	120-124	1.1354658663345418
1105	125-129	1.2554649645913258
1105	130-134	1.5559306553137233
1105	135-139	1.9112444729737987
1105	140-144	2.100304055142132
1105	145-149	2.0799788070786676
1105	150	2.8526513149136896
1106	1	0.27318106026559974
1106	2	-0.08546466271011255
1106	3	0.0815497354997774
1106	4	0.11457933702784118
1106	5	-0.3027833957083885
1106	6	0.08419323751766683
1106	7	-0.10163730571117924
1106	8	0.13293757885313795
1106	9	0.028439447415351538
1106	10-14	-0.19293056735187264
1106	15-19	-0.43611613666571003
1106	20-24	-0.2561977713809469
1106	25-29	0.12104322622754182
1106	30-34	-0.08365869288735439
1106	35-39	0.219290022027117
1106	40-44	0.0697219324549323
1106	45-49	0.05170678721035671
1106	50-54	-0.20165892426744136
1106	55-59	0.43446993200195294
1106	60-64	-0.1896567533093858
1106	65-69	-0.6205370784408117
1106	70-74	-0.4717051640540575
1106	75-79	-0.28344742387373145
1106	80-84	-0.20658659490026565
1106	85-89	0.49127365344980234
1106	90-94	0.3116261968709182
1106	95-99	0.14833476326920447
1106	100-104	0.48282707986321327
1106	105-109	0.9532391688600441
1106	110-114	0.6526960027450315
1106	115-119	0.8776679037185815
1106	120-124	0.5221669117672647
1106	125-129	0.9289427370941254
1106	130-134	0.4902474414189726
1106	135-139	0.6108723562226146
1106	140-144	0.46677899162335734
1106	145-149	0.8413107387671275
1106	150	1.8779287130690925
1107	1	0.3473721681611046
1107	2	0.22973403433792328
1107	3	0.27452334545965584
1107	4	0.3162805082792559
1107	5	0.15915332902618218
1107	6	0.2628315764495497
1107	7	0.48710101694384633
1107	8	0.3354873550908195
1107	9	0.3628665621738847
1107	10-14	0.3609053899702772
1107	15-19	0.20538377860878398
1107	20-24	0.22462955691928244
1107	25-29	0.4571159451924913
1107	30-34	0.42070272788204477
1107	35-39	0.4745826817487284
1107	40-44	0.5424296670556501
1107	45-49	0.6075829240563664
1107	50-54	0.6342214840192781
1107	55-59	0.5296378077516124
1107	60-64	0.25939484912796473
1107	65-69	0.14173356745077115
1107	70-74	0.14427172706204772
1107	75-79	0.23087558731912594
1107	80-84	0.2613343892313722
1107	85-89	0.7704448472561509
1107	90-94	0.9161729003054333
1107	95-99	0.9151046301998917
1107	100-104	0.9835547100298498
1107	105-109	1.0265062954891633
1107	110-114	1.0021119304033022
1107	115-119	1.2477676440142247
1107	120-124	0.9410900313630322
1107	125-129	1.2029357366735454
1107	130-134	1.3951662640608902
1107	135-139	1.635358705011491
1107	140-144	1.7428692072224266
1107	145-149	1.877899275124669
1107	150	2.0774985827127885
1108	1	-0.23191701635947126
1108	2	0.06316503202226897
1108	3	0.02486451248785926
1108	4	-0.10713933086868366
1108	5	-0.15578079758264352
1108	6	0.1488578125832234
1108	7	0.09472163135023948
1108	8	-0.09759718341813084
1108	9	0.10112116984701913
1108	10-14	0.0341283184192136
1108	15-19	-0.20926460423766713
1108	20-24	-0.019174894121405828
1108	25-29	0.15573539491304444
1108	30-34	0.06717365140581677
1108	35-39	0.18014410808288517
1108	40-44	0.14818610444704206
1108	45-49	0.03890652551541507
1108	50-54	0.09904248867032095
1108	55-59	0.3874729519322102
1108	60-64	0.06018666962702923
1108	65-69	-0.06281529894555149
1108	70-74	-0.06479504535435154
1108	75-79	-0.24312004478060345
1108	80-84	-0.09911393779903932
1108	85-89	0.2033437652383725
1108	90-94	0.5200825002166454
1108	95-99	0.3752185394351315
1108	100-104	0.4367330201626132
1108	105-109	0.7632009325311699
1108	110-114	0.5648110756020088
1108	115-119	0.8160185482681683
