##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	B-3_H3K27ac_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	52357423
Sequences flagged as poor quality	0
Sequence length	150
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.624810258518643	32.0	32.0	32.0	32.0	32.0
2	31.77737722118218	32.0	32.0	32.0	32.0	32.0
3	35.8295175452008	37.0	37.0	37.0	32.0	37.0
4	36.2393637288069	37.0	37.0	37.0	37.0	37.0
5	36.46680469739697	37.0	37.0	37.0	37.0	37.0
6	39.95146989950212	41.0	41.0	41.0	37.0	41.0
7	40.15968077726056	41.0	41.0	41.0	37.0	41.0
8	40.14107585088747	41.0	41.0	41.0	37.0	41.0
9	40.061249061093015	41.0	41.0	41.0	37.0	41.0
10-14	40.172591305725646	41.0	41.0	41.0	37.0	41.0
15-19	40.131119558730006	41.0	41.0	41.0	37.0	41.0
20-24	40.24027636348718	41.0	41.0	41.0	37.8	41.0
25-29	40.18704418282771	41.0	41.0	41.0	37.8	41.0
30-34	40.15352047406917	41.0	41.0	41.0	37.8	41.0
35-39	40.096073735332624	41.0	41.0	41.0	37.8	41.0
40-44	40.0499919600703	41.0	41.0	41.0	37.8	41.0
45-49	39.95609985235522	41.0	41.0	41.0	37.0	41.0
50-54	39.87875601134915	41.0	41.0	41.0	37.0	41.0
55-59	39.719009707563345	41.0	41.0	41.0	37.0	41.0
60-64	39.805074760841464	41.0	41.0	41.0	37.0	41.0
65-69	39.899309276547086	41.0	41.0	41.0	37.0	41.0
70-74	39.81901608106266	41.0	41.0	41.0	37.0	41.0
75-79	39.59869698705378	41.0	41.0	41.0	37.0	41.0
80-84	39.643699679413174	41.0	41.0	41.0	37.0	41.0
85-89	39.458252076310174	41.0	41.0	41.0	37.0	41.0
90-94	39.35207516611351	41.0	41.0	41.0	37.0	41.0
95-99	39.06795366150851	41.0	41.0	41.0	37.0	41.0
100-104	39.022072495814015	41.0	41.0	41.0	37.0	41.0
105-109	38.97495035995182	41.0	41.0	41.0	36.0	41.0
110-114	38.63097799523098	41.0	41.0	41.0	32.0	41.0
115-119	38.761150032154944	41.0	41.0	41.0	32.0	41.0
120-124	38.66281164372815	41.0	41.0	41.0	33.0	41.0
125-129	38.43336586294554	41.0	41.0	41.0	32.0	41.0
130-134	38.29268981019177	41.0	41.0	41.0	32.0	41.0
135-139	38.09726499717146	41.0	38.6	41.0	32.0	41.0
140-144	37.811908779391224	41.0	37.0	41.0	30.0	41.0
145-149	37.707491822124254	41.0	37.0	41.0	29.0	41.0
150	37.33530643782831	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.14359254216731188
1101	2	-0.20899652058172435
1101	3	-0.5611136019395602
1101	4	-0.5799913623802766
1101	5	-0.16661127476147897
1101	6	-0.2522049847574337
1101	7	-0.15800853357643518
1101	8	-0.25058150460672834
1101	9	-0.15697150628680845
1101	10-14	-0.15937661875113918
1101	15-19	-0.2600662229859765
1101	20-24	-0.24808133427444545
1101	25-29	-0.39635458003283475
1101	30-34	-0.2392471783351411
1101	35-39	-0.2468505815992188
1101	40-44	-0.7123395395901966
1101	45-49	-0.43568837228608714
1101	50-54	-0.3071895700425813
1101	55-59	-0.5290746562509341
1101	60-64	-0.3549628238267246
1101	65-69	-0.4797281103030926
1101	70-74	-0.7946136955273246
1101	75-79	-0.9181699957493521
1101	80-84	-1.0365134638820237
1101	85-89	-0.8873183550268564
1101	90-94	-0.882863586795132
1101	95-99	-0.5712704525199186
1101	100-104	-0.7125861394211483
1101	105-109	-1.0017434766054407
1101	110-114	-0.5258651698486858
1101	115-119	-0.6785277020578704
1101	120-124	-0.5598315596449268
1101	125-129	-0.6016501050604504
1101	130-134	-0.3782465310562202
1101	135-139	-0.603732793988975
1101	140-144	-0.4792726418954629
1101	145-149	-0.5357282718764935
1101	150	-0.02817611095228756
1102	1	0.028203002451895998
1102	2	-0.1339074948486001
1102	3	0.1019846646792999
1102	4	-0.01923613044758099
1102	5	-0.039570529398496035
1102	6	-0.04566439716176518
1102	7	-0.06213108674937473
1102	8	0.04232855541976477
1102	9	0.029735699054235454
1102	10-14	-0.002518412722025687
1102	15-19	-0.010160178491652516
1102	20-24	-0.037533917914721826
1102	25-29	0.008107397932057836
1102	30-34	0.024251684208152824
1102	35-39	-0.009180544835032833
1102	40-44	0.03392615133416399
1102	45-49	0.029826768468360854
1102	50-54	0.013455561793961124
1102	55-59	0.02333304690046134
1102	60-64	-0.0258299859759461
1102	65-69	0.041285926358447966
1102	70-74	0.07135908498013777
1102	75-79	0.10855633187895819
1102	80-84	0.027217996108412024
1102	85-89	0.11282568965440731
1102	90-94	0.061342257651020304
1102	95-99	0.07660816840310503
1102	100-104	0.19604801977083497
1102	105-109	0.21763346950511675
1102	110-114	0.2970514595977036
1102	115-119	0.21448728231315073
1102	120-124	0.2794560709803591
1102	125-129	0.4077098355892801
1102	130-134	0.4924757889446525
1102	135-139	0.5217516700429385
1102	140-144	0.5264825496862713
1102	145-149	0.5502484975457946
1102	150	0.886773081414681
1103	1	-0.1770921383496713
1103	2	-0.009111468931909172
1103	3	0.10973645732408954
1103	4	0.027215320319534442
1103	5	-0.02469953571939243
1103	6	0.016151251476614448
1103	7	-0.04366569342250415
1103	8	0.03572299932626066
1103	9	0.11710688683840687
1103	10-14	0.06630281306729557
1103	15-19	0.0765127938932153
1103	20-24	0.035080950563560975
1103	25-29	0.07945417588130255
